iter	RMSE
0	3.097572845
1	3.016931502
2	2.941005196
3	2.870856829
4	2.807103109
5	2.748495544
6	2.692088976
7	2.640512361
8	2.592677717
9	2.549975662
10	2.508395894
11	2.468800441
12	2.433266521
13	2.400937744
14	2.371129614
15	2.342757203
16	2.31566861
17	2.291045706
18	2.268422475
19	2.247836917
20	2.228009791
21	2.209513647
22	2.192650758
23	2.177327737
24	2.16275599
25	2.149733483
26	2.13731048
27	2.12559906
28	2.114908484
29	2.104392864
30	2.094560711
31	2.086276159
32	2.077855044
33	2.070101311
34	2.063346713
35	2.05670403
36	2.050294899
37	2.04374852
38	2.037882199
39	2.032706644
40	2.028032178
41	2.023371027
42	2.018873798
43	2.014939534
44	2.011265376
45	2.007517212
46	2.004252732
47	2.000171138
48	1.996872951
49	1.993312453
50	1.990770479
51	1.987869819
52	1.985124449
53	1.982470968
54	1.979851706
55	1.97716228
56	1.974475296
57	1.972201444
58	1.96963232
59	1.967239973
60	1.965352409
61	1.963504574
62	1.962039282
63	1.960249637
64	1.958292327
65	1.956391605
66	1.955137016
67	1.953556292
68	1.951910108
69	1.950739745
70	1.949566456
71	1.948097643
72	1.946661495
73	1.945159304
74	1.943774483
75	1.942790151
76	1.941982848
77	1.940495189
78	1.939447515
79	1.938502968
80	1.936987642
81	1.936072253
82	1.935042725
83	1.934462901
84	1.932958637
85	1.932388715
86	1.931209253
87	1.930356704
88	1.929820864
89	1.929271303
90	1.927984409
91	1.926769009
92	1.926050061
93	1.924964482
94	1.924475987
95	1.923928228
96	1.923439567
97	1.922345066
98	1.921656422
99	1.920924087
100	1.919950117
101	1.918860399
102	1.918096845
103	1.917257234
104	1.916488323
105	1.915681933
106	1.915078344
107	1.914252071
108	1.913311824
109	1.912514338
110	1.912080102
111	1.911396728
112	1.91101892
113	1.910727208
114	1.910288226
115	1.909709468
116	1.909369805
117	1.90877172
118	1.908326958
119	1.907538054
120	1.907044404
121	1.906762853
122	1.906254376
123	1.905818021
124	1.905030847
125	1.904216538
126	1.903765566
127	1.903065447
128	1.90286043
129	1.90239458
130	1.901999533
131	1.901251898
132	1.900514476
133	1.899910034
134	1.89963655
135	1.899118229
136	1.898759508
137	1.898239657
138	1.897715893
139	1.897215318
140	1.896574663
141	1.896034243
142	1.895621175
143	1.894948766
144	1.89474645
145	1.894446664
146	1.894175773
147	1.893557668
148	1.893079577
149	1.892766987
150	1.892449269
151	1.891817356
152	1.891548378
153	1.890962988
154	1.890712022
155	1.890184776
156	1.889932013
157	1.889652797
158	1.88932937
159	1.888892796
160	1.888341299
161	1.888084098
162	1.887522884
163	1.887077805
164	1.886754536
165	1.886364402
166	1.886129005
167	1.885738343
168	1.885467398
169	1.885004645
170	1.884684619
171	1.884348042
172	1.884046302
173	1.883803115
174	1.883280537
175	1.882825351
176	1.882571099
177	1.882189406
178	1.881999132
179	1.881574773
180	1.881218314
181	1.881029643
182	1.880741694
183	1.880319155
184	1.879921975
185	1.879467679
186	1.879173676
187	1.878817062
188	1.87854883
189	1.878377242
190	1.87810995
191	1.877849241
192	1.877477225
193	1.877084159
194	1.876694023
195	1.876403802
196	1.876174084
197	1.875899549
198	1.87569337
199	1.875568025
200	1.875239557
201	1.874847128
202	1.874684948
203	1.874384064
204	1.87420144
205	1.873966928
206	1.873841869
207	1.873627019
208	1.873419987
209	1.873309875
210	1.872982218
211	1.872722204
212	1.872461449
213	1.872240906
214	1.87202879
215	1.871773474
216	1.87147021
217	1.871168306
218	1.87090381
219	1.870691643
220	1.870544814
221	1.870329282
222	1.870017725
223	1.869567874
224	1.869418336
225	1.869138476
226	1.86899485
227	1.868725914
228	1.868437077
229	1.868274643
230	1.868070548
231	1.867844847
232	1.86766229
233	1.867544778
234	1.867284107
235	1.867100183
236	1.866982636
237	1.866785766
238	1.866337054
239	1.866188166
240	1.865756172
241	1.865580681
242	1.865384976
243	1.864973604
244	1.864794605
245	1.864673679
246	1.864479798
247	1.864313483
248	1.864081668
249	1.863714889
250	1.863584189
251	1.863278176
252	1.863085262
253	1.862812237
254	1.862573459
255	1.862409097
256	1.862169053
257	1.861995854
258	1.861893263
259	1.861622694
260	1.861521296
261	1.861360789
262	1.861218689
263	1.860887789
264	1.860685718
265	1.860526658
266	1.860276649
267	1.860162317
268	1.860041394
269	1.859777443
270	1.859500488
271	1.859288438
272	1.859098454
273	1.858778122
274	1.858465034
275	1.858229245
276	1.858058315
277	1.857771368
278	1.857593297
279	1.857535187
280	1.857242378
281	1.857125424
282	1.856913814
283	1.856728254
284	1.856477937
285	1.856391277
286	1.856137667
287	1.856006433
288	1.855733483
289	1.855459173
290	1.855307076
291	1.855113029
292	1.854917539
293	1.854782157
294	1.85472335
295	1.854459048
296	1.854255261
297	1.854078986
298	1.853952586
299	1.85382638
300	1.853715511
301	1.85361358
302	1.853504629
303	1.853344851
304	1.853156596
305	1.852985503
306	1.852908948
307	1.852743729
308	1.852590902
309	1.852459722
310	1.852364535
311	1.852295989
312	1.852042835
313	1.851806025
314	1.851701038
315	1.851592484
316	1.851405373
317	1.851257625
318	1.851195551
319	1.851003515
320	1.850844742
321	1.850567875
322	1.850502214
323	1.850301045
324	1.850027559
325	1.849871655
326	1.84978326
327	1.849669705
328	1.849570096
329	1.849516725
330	1.849391643
331	1.849250864
332	1.849135646
333	1.848933615
334	1.848873195
335	1.848602759
336	1.848446429
337	1.848338193
338	1.848257267
339	1.848121601
340	1.847825567
341	1.847649291
342	1.847492677
343	1.847370313
344	1.847201743
345	1.847045091
346	1.846902808
347	1.846777855
348	1.846613312
349	1.846453346
350	1.846230206
351	1.846104187
352	1.84590611
353	1.845649222
354	1.845545212
355	1.845387194
356	1.845116246
357	1.844986271
358	1.844911018
359	1.844766017
360	1.844752027
361	1.844636937
362	1.844581789
363	1.844490587
364	1.844365266
365	1.844202449
366	1.844087732
367	1.844033794
368	1.843844792
369	1.843782469
370	1.843682951
371	1.843500249
372	1.84341676
373	1.843320697
374	1.843175264
375	1.843073056
376	1.842918609
377	1.842896631
378	1.84281884
379	1.842669687
380	1.842469912
381	1.842244552
382	1.842090444
383	1.842034095
384	1.841955244
385	1.841750993
386	1.841595617
387	1.841481864
388	1.841367796
389	1.841223335
390	1.841053793
391	1.840996901
392	1.840937858
393	1.840856504
394	1.840790497
395	1.840610067
396	1.840537296
397	1.840403824
398	1.840307809
399	1.840102761
400	1.840014204
401	1.839908851
402	1.839757619
403	1.839644776
404	1.839518204
405	1.839386706
406	1.839313375
407	1.839153593
408	1.838956612
409	1.838839315
410	1.838740451
411	1.838670578
412	1.838478771
413	1.838341358
414	1.838151156
415	1.838053281
416	1.83800552
417	1.837905279
418	1.837708369
419	1.83752169
420	1.837442338
421	1.83728106
422	1.837201492
423	1.837173705
424	1.837078033
425	1.836957949
426	1.836835499
427	1.836738682
428	1.836645859
429	1.836548622
430	1.836414245
431	1.836227639
432	1.836080208
433	1.83606923
434	1.835902188
435	1.835706192
436	1.835540041
437	1.835472406
438	1.835332818
439	1.835307876
440	1.835126496
441	1.835051865
442	1.834976924
