iter	Passed	Remaining
0	4	6410
1	7	5582
2	15	7053
3	18	6545
4	21	6130
5	26	6173
6	30	6071
7	33	5868
8	37	5828
9	40	5690
10	44	5631
11	47	5528
12	51	5513
13	55	5460
14	58	5433
15	62	5368
16	65	5357
17	69	5327
18	73	5337
19	77	5341
20	81	5320
21	85	5365
22	90	5391
23	95	5466
24	99	5485
25	103	5492
26	107	5457
27	110	5434
28	114	5396
29	117	5385
30	121	5357
31	125	5361
32	129	5384
33	134	5416
34	139	5425
35	145	5522
36	149	5511
37	155	5569
38	160	5606
39	167	5685
40	171	5688
41	177	5738
42	182	5753
43	187	5782
44	191	5760
45	196	5771
46	200	5763
47	204	5747
48	210	5793
49	215	5813
50	218	5789
51	223	5797
52	228	5803
53	231	5779
54	236	5784
55	242	5812
56	245	5794
57	251	5810
58	256	5831
59	260	5814
60	264	5807
61	268	5804
62	272	5779
63	276	5768
64	280	5755
65	284	5752
66	288	5735
67	291	5718
68	296	5717
69	300	5702
70	304	5699
71	308	5690
72	312	5672
73	316	5672
74	320	5657
75	324	5656
76	328	5637
77	331	5626
78	335	5613
79	339	5602
80	343	5596
81	347	5583
82	351	5584
83	355	5575
84	361	5598
85	365	5589
86	370	5584
87	373	5570
88	377	5559
89	380	5543
90	386	5560
91	397	5653
92	404	5690
93	414	5754
94	425	5840
95	432	5868
96	443	5954
97	451	5992
98	455	5980
99	459	5969
100	462	5951
101	466	5939
102	473	5965
103	476	5942
104	480	5930
105	483	5907
106	487	5892
107	490	5870
108	494	5859
109	497	5838
110	501	5822
111	504	5806
112	508	5795
113	512	5781
114	516	5770
115	520	5758
116	523	5744
117	528	5738
118	531	5720
119	535	5709
120	538	5691
121	543	5688
122	546	5669
123	549	5657
124	553	5642
125	557	5634
126	560	5622
127	564	5610
128	568	5604
129	571	5587
130	575	5576
131	578	5560
132	582	5551
133	585	5536
134	589	5525
135	592	5509
136	597	5504
137	600	5490
138	604	5480
139	607	5465
140	611	5457
141	614	5444
142	618	5437
143	622	5428
144	630	5453
145	634	5445
146	637	5435
147	640	5422
148	644	5414
149	648	5405
150	656	5434
151	660	5422
152	664	5415
153	668	5405
154	673	5410
155	678	5411
156	681	5398
157	686	5393
158	689	5380
159	693	5377
160	697	5369
161	701	5358
162	704	5349
163	708	5340
164	713	5340
165	716	5327
166	720	5322
167	724	5316
168	728	5305
169	732	5301
170	736	5291
171	741	5291
172	745	5286
173	749	5277
174	753	5275
175	757	5266
176	761	5261
177	765	5253
178	769	5249
179	774	5249
180	777	5239
181	781	5233
182	787	5237
183	791	5229
184	795	5224
185	799	5218
186	806	5233
187	810	5226
188	815	5225
189	818	5214
190	822	5207
191	826	5197
192	829	5189
