iter	Passed	Remaining
0	5	6690
1	8	4976
2	11	4444
3	14	4287
4	17	4093
5	21	4157
6	24	3993
7	27	3964
8	30	3866
9	33	3773
10	36	3788
11	39	3723
12	42	3730
13	45	3682
14	48	3657
15	51	3612
16	53	3577
17	56	3575
18	59	3568
19	63	3583
20	66	3549
21	69	3552
22	71	3524
23	76	3572
24	79	3553
25	81	3531
26	84	3507
27	87	3484
28	90	3493
29	93	3473
30	97	3510
31	100	3499
32	103	3486
33	105	3472
34	109	3486
35	112	3471
36	114	3455
37	118	3456
38	121	3471
39	125	3482
40	130	3522
41	132	3504
42	136	3519
43	139	3505
44	142	3501
45	147	3529
46	149	3513
47	153	3514
48	156	3504
49	159	3505
50	162	3493
51	167	3532
52	173	3586
53	177	3596
54	180	3585
55	183	3585
56	186	3569
57	188	3553
58	193	3575
59	196	3562
60	200	3570
61	203	3560
62	205	3545
63	208	3533
64	212	3546
65	215	3540
66	219	3538
67	221	3527
68	224	3517
69	227	3509
70	230	3501
71	233	3497
72	236	3485
73	241	3506
74	244	3499
75	246	3486
76	249	3474
77	252	3472
78	255	3462
79	259	3467
80	262	3458
81	265	3458
82	268	3448
83	271	3440
84	274	3440
85	277	3431
86	280	3420
87	282	3409
88	285	3405
89	289	3404
90	292	3401
91	296	3404
92	299	3395
93	301	3385
94	304	3383
95	308	3384
96	311	3381
97	315	3380
98	317	3370
99	320	3364
100	323	3355
101	326	3347
102	328	3337
103	331	3329
104	335	3333
105	337	3325
106	340	3316
107	343	3307
108	345	3300
109	351	3319
110	355	3324
111	360	3339
112	364	3342
113	368	3347
114	371	3339
115	374	3333
116	377	3325
117	381	3332
118	387	3351
119	390	3348
120	393	3346
121	397	3344
122	401	3348
123	405	3351
124	409	3353
125	412	3347
126	415	3341
127	418	3334
128	421	3330
129	423	3322
130	427	3325
131	431	3323
132	434	3322
133	437	3317
134	441	3318
135	444	3313
136	449	3319
137	452	3312
138	456	3313
139	458	3307
140	461	3300
141	464	3291
142	466	3285
143	470	3285
144	473	3279
145	476	3272
146	479	3265
147	482	3264
148	486	3264
149	490	3264
150	492	3258
151	496	3254
152	498	3248
153	502	3245
154	505	3244
155	509	3245
156	513	3244
157	516	3239
158	519	3233
159	522	3232
160	526	3228
161	529	3226
162	533	3228
163	537	3225
164	539	3219
165	543	3219
166	547	3217
167	550	3216
168	553	3211
169	557	3209
170	560	3204
171	564	3206
172	567	3200
173	571	3203
174	575	3201
175	579	3201
176	581	3195
177	585	3192
178	587	3185
179	590	3179
180	593	3175
181	596	3170
182	600	3170
183	603	3165
184	606	3162
185	609	3157
186	612	3151
187	615	3145
188	618	3139
189	620	3133
190	625	3137
191	628	3131
192	631	3125
193	633	3119
194	636	3114
195	639	3108
196	642	3102
197	645	3100
198	648	3095
199	651	3092
200	654	3088
201	658	3086
202	661	3080
203	664	3076
204	666	3070
205	669	3064
206	673	3062
207	675	3056
208	678	3051
209	681	3049
210	685	3046
211	687	3040
212	690	3034
213	693	3028
214	695	3022
215	698	3018
216	702	3015
217	705	3014
218	708	3008
219	711	3003
220	713	2997
221	720	3008
222	723	3003
223	727	3003
224	730	2998
225	735	3002
226	739	3002
227	742	3000
228	746	3000
229	749	2996
230	753	2994
231	756	2989
232	759	2986
233	763	2984
234	766	2979
235	768	2973
236	771	2969
237	775	2967
238	779	2968
239	782	2963
240	785	2959
241	788	2954
242	791	2949
243	794	2947
244	797	2943
245	802	2945
246	805	2940
247	808	2938
248	811	2933
249	815	2931
250	817	2926
251	821	2923
252	823	2918
253	826	2913
254	829	2907
255	831	2902
256	836	2904
257	840	2902
258	843	2897
259	846	2892
260	849	2889
261	852	2884
262	856	2885
263	859	2879
264	861	2874
265	864	2869
266	867	2866
267	870	2861
268	873	2856
269	878	2859
270	883	2862
271	886	2856
272	889	2854
273	892	2849
274	895	2846
275	898	2841
276	902	2839
277	905	2837
278	908	2832
279	910	2827
280	913	2821
281	917	2821
282	920	2816
283	923	2811
284	925	2806
285	928	2801
286	931	2797
287	934	2792
288	937	2789
289	940	2784
290	943	2781
291	946	2779
292	949	2775
293	952	2770
294	955	2765
295	960	2769
296	963	2764
297	966	2759
298	969	2757
299	972	2752
300	975	2748
301	978	2743
302	980	2738
303	983	2733
304	985	2728
305	988	2723
306	993	2724
307	997	2722
308	999	2718
309	1002	2714
310	1005	2709
311	1008	2705
312	1011	2701
313	1014	2698
314	1018	2696
315	1021	2692
316	1025	2692
317	1028	2687
318	1031	2684
319	1034	2679
320	1038	2678
321	1041	2673
322	1043	2669
323	1047	2666
324	1050	2662
325	1053	2659
326	1056	2655
327	1059	2651
328	1061	2646
329	1065	2643
330	1068	2639
331	1070	2635
332	1073	2631
333	1076	2627
334	1079	2622
335	1081	2618
336	1087	2620
337	1091	2618
338	1094	2615
339	1097	2611
340	1100	2607
341	1102	2602
342	1106	2599
343	1108	2594
344	1111	2590
345	1115	2588
346	1118	2585
347	1123	2585
348	1126	2581
349	1128	2577
350	1132	2573
351	1135	2571
352	1139	2568
353	1141	2564
354	1145	2561
355	1148	2557
356	1151	2554
357	1153	2549
358	1156	2545
359	1160	2542
360	1163	2538
361	1167	2537
362	1170	2533
363	1173	2530
364	1177	2528
365	1181	2528
366	1184	2524
367	1188	2522
368	1191	2519
369	1194	2515
370	1197	2510
371	1200	2506
372	1202	2502
373	1205	2498
374	1209	2495
375	1211	2491
376	1215	2488
377	1218	2485
378	1221	2482
379	1224	2478
380	1227	2474
381	1230	2470
382	1233	2467
383	1236	2463
384	1239	2459
385	1242	2456
386	1245	2452
387	1248	2449
388	1251	2445
389	1254	2441
390	1257	2437
391	1260	2434
392	1263	2430
393	1266	2427
394	1270	2424
395	1273	2420
396	1275	2416
397	1278	2412
398	1282	2410
399	1286	2408
400	1289	2405
401	1292	2400
402	1294	2396
403	1297	2392
404	1300	2388
405	1303	2385
406	1306	2381
407	1311	2381
408	1314	2377
409	1348	2431
410	1361	2445
411	1365	2442
412	1367	2437
413	1370	2433
414	1373	2429
415	1377	2426
416	1380	2422
417	1383	2420
