iter	Passed	Remaining
0	30	21164
1	58	19920
2	82	18882
3	108	18579
4	134	18362
5	161	18384
6	186	18132
7	213	18146
8	238	17950
9	264	17895
10	287	17683
11	314	17705
12	339	17602
13	363	17453
14	385	17289
15	409	17153
16	432	17036
17	454	16902
18	474	16692
19	499	16656
20	521	16546
21	545	16495
22	569	16447
23	592	16361
24	613	16232
25	634	16138
26	657	16060
27	678	15968
28	700	15890
29	726	15906
30	748	15833
31	770	15777
32	793	15729
33	814	15652
34	838	15613
35	864	15624
36	885	15555
37	906	15478
38	932	15485
39	953	15415
40	974	15357
41	996	15307
42	1021	15291
43	1042	15236
44	1066	15210
45	1088	15163
46	1107	15083
47	1128	15018
48	1150	14982
49	1173	14944
50	1192	14869
51	1215	14844
52	1236	14788
53	1301	15253
54	1323	15211
55	1346	15172
56	1366	15108
57	1385	15028
58	1406	14973
59	1426	14907
60	1448	14868
61	1472	14841
62	1497	14834
63	1519	14789
64	1541	14755
65	1566	14735
66	1592	14738
67	1617	14726
68	1644	14729
69	1667	14702
70	1687	14638
71	1711	14620
72	1732	14575
73	1759	14572
74	1784	14560
75	1806	14527
76	1832	14520
77	1853	14470
78	1878	14454
79	1900	14422
80	1925	14402
81	1948	14378
82	1969	14334
83	1993	14307
84	2013	14257
85	2038	14245
86	2059	14201
87	2082	14172
88	2109	14172
89	2131	14139
90	2153	14103
91	2175	14071
92	2198	14041
93	2218	13993
94	2237	13946
95	2265	13946
96	2291	13935
97	2314	13911
98	2337	13881
99	2357	13838
100	2380	13812
101	2401	13771
102	2421	13730
103	2442	13693
104	2464	13661
105	2488	13639
106	2514	13627
107	2538	13609
108	2558	13569
109	2583	13549
110	2601	13502
111	2621	13460
112	2643	13429
113	2664	13391
114	2686	13362
115	2709	13337
116	2729	13299
117	2751	13269
118	2771	13230
119	2791	13191
120	2813	13158
121	2836	13135
122	2857	13101
123	2878	13067
124	2900	13042
125	2923	13016
126	2948	13000
127	2970	12972
128	2990	12934
129	3009	12895
130	3029	12857
131	3050	12827
132	3073	12803
133	3099	12789
134	3118	12752
135	3141	12726
136	3163	12700
137	3186	12676
138	3208	12650
139	3230	12622
140	3253	12596
141	3273	12565
142	3299	12553
143	3321	12526
144	3346	12508
145	3366	12472
146	3384	12432
147	3405	12401
148	3426	12371
149	3450	12353
150	3472	12325
151	3498	12313
152	3523	12296
153	3547	12277
154	3566	12239
155	3593	12230
156	3617	12210
157	3643	12198
158	3662	12163
159	3684	12137
160	3708	12114
161	3729	12087
162	3752	12061
163	3777	12045
164	3805	12039
165	3839	12051
166	3860	12021
167	3879	11985
168	3899	11952
169	3921	11925
170	3946	11908
171	3971	11891
172	3996	11873
173	4017	11844
174	4038	11814
175	4058	11783
176	4077	11749
177	4101	11729
178	4123	11702
179	4149	11688
180	4170	11658
181	4192	11634
182	4213	11605
183	4233	11574
184	4255	11548
185	4278	11523
186	4301	11501
187	4322	11472
188	4350	11463
189	4386	11473
190	4418	11473
191	4444	11458
192	4470	11442
193	4493	11418
194	4513	11389
195	4537	11367
196	4562	11347
197	4586	11326
198	4609	11303
199	4635	11288
200	4663	11274
201	4693	11270
202	4723	11261
203	4748	11242
204	4773	11224
205	4795	11197
206	4817	11169
207	4840	11146
208	4863	11123
209	4886	11099
210	4906	11068
211	4923	11032
212	4947	11010
213	4970	10986
214	4995	10967
215	5017	10940
216	5041	10918
217	5060	10887
218	5084	10865
219	5107	10840
220	5131	10821
221	5153	10795
222	5176	10770
223	5198	10744
224	5226	10731
225	5245	10700
226	5268	10676
227	5294	10659
228	5316	10632
229	5340	10610
230	5369	10599
231	5395	10581
232	5418	10557
233	5441	10535
234	5477	10535
235	5504	10519
236	5531	10503
237	5560	10489
238	5587	10473
239	5609	10448
240	5631	10421
241	5658	10404
242	5684	10387
243	5718	10381
244	5770	10409
245	5801	10399
246	5856	10432
247	5877	10404
248	5901	10380
249	5919	10347
250	5943	10324
251	5966	10300
252	5988	10273
253	6018	10259
254	6053	10255
255	6079	10235
256	6108	10220
257	6133	10199
258	6159	10178
259	6182	10152
260	6200	10121
261	6220	10090
262	6245	10068
263	6266	10039
264	6290	10018
265	6317	9998
266	6338	9971
267	6365	9952
268	6389	9929
269	6411	9902
270	6431	9873
271	6451	9842
272	6473	9817
273	6496	9791
274	6516	9762
275	6540	9739
276	6562	9713
277	6589	9694
278	6615	9673
279	6638	9649
280	6665	9630
281	6688	9605
282	6708	9576
283	6732	9553
284	6755	9528
285	6780	9506
286	6839	9532
287	6870	9519
288	6892	9491
289	6912	9462
290	6933	9435
291	6958	9412
292	6986	9394
293	7008	9367
294	7032	9345
295	7056	9321
296	7079	9295
297	7100	9269
298	7125	9246
