A;050;20030501 12:38;PBARBER;
B;050;484691;1;20030501 12:38;;2;195;ALEXANDRA ST;ALBURY;2640;;;20030224;20030326;77050;;R;RESIDENCE;2;;;;9522103;
C;050;484691;1;20030501 12:38;2//SP 20870;
D;050;484691;1;20030501 12:38;P;;;;;;
D;050;484691;1;20030501 12:38;V;;;;;;
B;050;484939;2;20030501 12:38;;2;3;AMALFI DR;LAVINGTON;2641;;;20030306;20030403;84000;;R;RESIDENCE;2;;;;9546645;
C;050;484939;2;20030501 12:38;2//SP 42579;
D;050;484939;2;20030501 12:38;P;;;;;;
D;050;484939;2;20030501 12:38;P;;;;;;
D;050;484939;2;20030501 12:38;V;;;;;;
D;050;484939;2;20030501 12:38;V;;;;;;
B;050;485263;3;20030501 12:38;;;50;BANKSIA ST;ALBURY;2640;895.9;M;20030305;20030407;24000;A;V;VACANT LAND;;AC;;;9537779;
C;050;485263;3;20030501 12:38;182//842884;
D;050;485263;3;20030501 12:38;P;;;;;;
D;050;485263;3;20030501 12:38;P;;;;;;
D;050;485263;3;20030501 12:38;V;;;;;;
B;050;485274;4;20030501 12:38;;;31;BANKSIA ST;ALBURY;2640;805.8;M;20030311;20030404;26500;A;V;VACANT LAND;;AC;;;9539187;
C;050;485274;4;20030501 12:38;184//842884;
D;050;485274;4;20030501 12:38;P;;;;;;
D;050;485274;4;20030501 12:38;V;;;;;;
B;050;486476;5;20030501 12:38;;;35;BRIWOOD CT;ALBURY;2640;1502;M;20030212;20030328;36500;A;V;VACANT LAND;;AC;;;9520112;
C;050;486476;5;20030501 12:38;173//842884;
D;050;486476;5;20030501 12:38;P;;;;;;
D;050;486476;5;20030501 12:38;P;;;;;;
D;050;486476;5;20030501 12:38;V;;;;;;
B;050;486816;6;20030501 12:38;;;259;BUTT ST;ALBURY;2640;496;M;20030306;20030404;142300;A;R;RESIDENCE;;AE;;;9533580;
C;050;486816;6;20030501 12:38;6//38909;
D;050;486816;6;20030501 12:38;P;;;;;;
D;050;486816;6;20030501 12:38;P;;;;;;
D;050;486816;6;20030501 12:38;P;;;;;;
D;050;486816;6;20030501 12:38;V;;;;;;
D;050;486816;6;20030501 12:38;V;;;;;;
B;050;487108;7;20030501 12:38;;8;1060;CARATEL ST;NORTH ALBURY;2640;;;20030321;20030407;58000;;3;UNIT;8;;;;9530023;
C;050;487108;7;20030501 12:38;8//SP 36430;
D;050;487108;7;20030501 12:38;P;;;;;;
D;050;487108;7;20030501 12:38;V;;;;;;
B;050;488076;8;20030501 12:38;;;73;CRAWSHAW CRES;ALBURY;2640;465;M;20030307;20030408;183000;A;R;RESIDENCE;;AN;;;9529989;
C;050;488076;8;20030501 12:38;700//846700;
D;050;488076;8;20030501 12:38;P;;;;;;
D;050;488076;8;20030501 12:38;V;;;;;;
D;050;488076;8;20030501 12:38;V;;;;;;
B;050;488286;9;20030501 12:38;;;422;DALE CRES;LAVINGTON;2641;683;M;20030305;20030331;210550;A;R;RESIDENCE;;AL;;;9536772;
C;050;488286;9;20030501 12:38;37//241238;
D;050;488286;9;20030501 12:38;P;;;;;;
D;050;488286;9;20030501 12:38;P;;;;;;
D;050;488286;9;20030501 12:38;V;;;;;;
D;050;488286;9;20030501 12:38;V;;;;;;
B;050;488465;10;20030501 12:38;;;7;DARRAMBAL DR;LAVINGTON;2641;692.8;M;20030321;20030328;122500;A;R;RESIDENCE;;AL;;;9523870;
C;050;488465;10;20030501 12:38;427//255081;
D;050;488465;10;20030501 12:38;P;;;;;;
D;050;488465;10;20030501 12:38;P;;;;;;
D;050;488465;10;20030501 12:38;V;;;;;;
B;050;488559;11;20030501 12:38;;;654;DAVID ST;ALBURY;2640;;;20030303;20030402;265000;A;R;RESIDENCE;;AA;;;9526660;
C;050;488559;11;20030501 12:38;B//151923;
D;050;488559;11;20030501 12:38;P;;;;;;
D;050;488559;11;20030501 12:38;P;;;;;;
D;050;488559;11;20030501 12:38;V;;;;;;
D;050;488559;11;20030501 12:38;V;;;;;;
B;050;488884;12;20030501 12:38;;;449 A;DEAN ST;ALBURY;2640;278.3;M;20021211;20030224;230000;B;3;SHOP;;CB;;;9525943;
C;050;488884;12;20030501 12:38;Y//162366;
D;050;488884;12;20030501 12:38;P;;;;;;
D;050;488884;12;20030501 12:38;V;;;;;;
D;050;488884;12;20030501 12:38;V;;;;;;
D;050;488884;12;20030501 12:38;V;;;;;;
D;050;488884;12;20030501 12:38;V;;;;;;
B;050;488914;13;20030501 12:38;;5;501;DEAN ST;ALBURY;2640;;;20021101;20021219;152000;;3;SHOP;5;;;;9520836;
C;050;488914;13;20030501 12:38;5//SP 31562;
D;050;488914;13;20030501 12:38;P;;;;;;
D;050;488914;13;20030501 12:38;P;;;;;;
D;050;488914;13;20030501 12:38;V;;;;;;
B;050;489299;14;20030501 12:38;;;17;DONNOLLEY CT;LAVINGTON;2641;848.8;M;20020830;20020830;10000;A;R;RESIDENCE;;AL;;;9545748;
C;050;489299;14;20030501 12:38;7//804347;
D;050;489299;14;20030501 12:38;P;;;;;;
D;050;489299;14;20030501 12:38;V;;;;;;
D;050;489299;14;20030501 12:38;V;;;;;;
B;050;489394;15;20030501 12:38;;;436;DOUGLAS RD;LAVINGTON;2641;1037;M;20030124;20030402;125000;A;R;RESIDENCE;;AL;;;9551029;
C;050;489394;15;20030501 12:38;8//26921;
D;050;489394;15;20030501 12:38;P;;;;;;
D;050;489394;15;20030501 12:38;V;;;;;;
B;050;489619;16;20030501 12:38;;;71;DUNNE CRES;THURGOONA;2640;809.9;M;20030129;20030307;35000;A;V;VACANT LAND;;AQ;;;9518761;
C;050;489619;16;20030501 12:38;21//883375;
D;050;489619;16;20030501 12:38;P;;;;;;
D;050;489619;16;20030501 12:38;P;;;;;;
D;050;489619;16;20030501 12:38;V;;;;;;
B;050;489732;17;20030501 12:38;;1;718;EAST ST;ALBURY;2640;;;20030319;20030403;72000;;R;RESIDENCE;1;;;;9523958;
C;050;489732;17;20030501 12:38;1//SP 12071;
D;050;489732;17;20030501 12:38;P;;;;;;
D;050;489732;17;20030501 12:38;V;;;;;;
B;050;489927;18;20030501 12:38;;;367;EDEN ST;LAVINGTON;2641;663.9;M;20021009;20021025;165000;A;R;RESIDENCE;;AL;;;9547255;
C;050;489927;18;20030501 12:38;22//554036;
D;050;489927;18;20030501 12:38;P;;;;;;
