A;054;20020102 13:44;PTHIRLWELL;
B;054;511548;1;20020102 13:44;;;2023;MILLWOOD RD;COOLAMON;2701;53.57;H;20010919;20011015;125000;R;V;VACANT LAND;;MA;;;8186697;
C;054;511548;1;20020102 13:44;3//791521;
D;054;511548;1;20020102 13:44;P;;;;;;
D;054;511548;1;20020102 13:44;P;;;;;;
D;054;511548;1;20020102 13:44;V;;;;;;
B;054;511731;2;20020102 13:44;;;85;FORD ST;GANMAIN;2702;278.2;M;20000512;20010920;5500;Z;R;RESIDENCE;;VE;AC;;8161566;
C;054;511731;2;20020102 13:44;4//20220;
D;054;511731;2;20020102 13:44;P;;;;;;
D;054;511731;2;20020102 13:44;V;;;;;;
B;054;511760;3;20020102 13:44;;;;HANNAH ST;GANMAIN;2702;853.6;M;20011019;20011107;28000;Z;R;RESIDENCE;;VE;AC;;8166157;
C;054;511760;3;20020102 13:44;1/41/758428;
D;054;511760;3;20020102 13:44;P;;;;;;
D;054;511760;3;20020102 13:44;V;;;;;;
D;054;511760;3;20020102 13:44;V;;;;;;
B;054;511801;4;20020102 13:44;;;;LANGHAM ST;GANMAIN;2702;632.3;M;20011107;20011127;41000;Z;R;RESIDENCE;;VE;AC;;8158696;
C;054;511801;4;20020102 13:44;A//369343;
D;054;511801;4;20020102 13:44;P;;;;;;
D;054;511801;4;20020102 13:44;V;;;;;;
D;054;511801;4;20020102 13:44;V;;;;;;
B;054;511870;5;20020102 13:44;;;;LOCH ST;GANMAIN;2702;2023;M;20011116;20011123;7700;Z;V;VACANT LAND;;VE;AV;;8156784;
C;054;511870;5;20020102 13:44;1/30/758428;
D;054;511870;5;20020102 13:44;P;;;;;;
D;054;511870;5;20020102 13:44;P;;;;;;
D;054;511870;5;20020102 13:44;V;;;;;;
B;054;512086;6;20020102 13:44;;;335;METHUL RD;METHUL;2701;647.1;H;20010328;20010328;1255950;R;3;FARMLANDS;;MC;RM;;8121077;
C;054;512086;6;20020102 13:44;23//750837 81//750855 PH DULAH POR 23 & PH METHUL POR 81;
D;054;512086;6;20020102 13:44;P;;;;;;
D;054;512086;6;20020102 13:44;P;;;;;;
D;054;512086;6;20020102 13:44;V;;;;;;
B;054;512174;7;20020102 13:44;;;;VILLAGE OF MATONG;MATONG;2652;1012;M;20011120;20011130;23000;Z;R;RESIDENCE;;MT;;;8187069;
C;054;512174;7;20020102 13:44;D//302092;
D;054;512174;7;20020102 13:44;P;;;;;;
D;054;512174;7;20020102 13:44;V;;;;;;
B;054;512192;8;20020102 13:44;;;;VILLAGE OF MATONG;MATONG;2652;1973;M;20011025;20011123;900;R;V;VACANT LAND;;HG;RV;;8156472;
C;054;512192;8;20020102 13:44;10/10/758657;
D;054;512192;8;20020102 13:44;P;;;;;;
D;054;512192;8;20020102 13:44;V;;;;;;
B;054;512666;9;20020102 13:44;;;9;LOUGHNAN ST;COOLAMON;2701;1012;M;20011024;20011109;89000;Z;R;RESIDENCE;;VC;AC;;8161824;
C;054;512666;9;20020102 13:44;5//5156;
D;054;512666;9;20020102 13:44;P;;;;;;
D;054;512666;9;20020102 13:44;P;;;;;;
D;054;512666;9;20020102 13:44;V;;;;;;
D;054;512666;9;20020102 13:44;V;;;;;;
B;054;512814;10;20020102 13:44;;;;MIRROOL ST;COOLAMON;2701;2032;M;20011106;20011204;100000;Z;R;RESIDENCE;;VD;;;8181896;
C;054;512814;10;20020102 13:44;2/34/758277;
D;054;512814;10;20020102 13:44;P;;;;;;
D;054;512814;10;20020102 13:44;P;;;;;;
D;054;512814;10;20020102 13:44;V;;;;;;
D;054;512814;10;20020102 13:44;V;;;;;;
B;054;513043;11;20020102 13:44;;;;DON ST;MARRAR;2652;2023;M;20010923;20011022;75000;Z;R;RESIDENCE;;VF;AC;;8161457;
C;054;513043;11;20020102 13:44;10/2/758650;
D;054;513043;11;20020102 13:44;P;;;;;;
D;054;513043;11;20020102 13:44;P;;;;;;
D;054;513043;11;20020102 13:44;V;;;;;;
B;054;513277;12;20020102 13:44;;;2137;EAST WEST RD;METHUL;2701;259;H;20010328;20010328;1255950;R;3;FARMLANDS;;MB;RM;;8121077;
C;054;513277;12;20020102 13:44;69//750855;
D;054;513277;12;20020102 13:44;P;;;;;;
D;054;513277;12;20020102 13:44;P;;;;;;
D;054;513277;12;20020102 13:44;V;;;;;;
B;054;513287;13;20020102 13:44;;;309;LEARYS LANE;METHUL;2701;110.4;H;20010328;20010328;1255950;R;3;FARMLANDS;;MB;RM;;8121077;
C;054;513287;13;20020102 13:44;1//632740 104//750855;
D;054;513287;13;20020102 13:44;P;;;;;;
D;054;513287;13;20020102 13:44;P;;;;;;
D;054;513287;13;20020102 13:44;V;;;;;;
