A;061;20030619 08:58;PDANN;
B;061;532592;1;20030619 08:58;;;;PH BETHUNGRA PH PORS;BETHUNGRA;2590;5412;M;20030128;20030224;125000;Z;R;RESIDENCE;;ZG;AC;0;9449723;
C;061;532592;1;20030619 08:58;2, 3, 5/15/758100;
D;061;532592;1;20030619 08:58;P;;;;;;
D;061;532592;1;20030619 08:58;P;;;;;;
D;061;532592;1;20030619 08:58;V;;;;;;
D;061;532592;1;20030619 08:58;V;;;;;;
B;061;532876;2;20030619 08:58;;;1315;JUNEE EUROGILLY SCHOOL RD;EURONGILLY;2663;149.2;H;20021030;20021220;325000;R;3;FARM;;RB;RM;0;9303282;
C;061;532876;2;20030619 08:58;1//409993 1//541590 Road Permit 1912/192;
D;061;532876;2;20030619 08:58;P;;;;;;
D;061;532876;2;20030619 08:58;P;;;;;;
D;061;532876;2;20030619 08:58;P;;;;;;
D;061;532876;2;20030619 08:58;V;;;;;;
B;061;533029;3;20030619 08:58;;;;PH JERALGAMBETH PH PORS;JUNEE;2663;283.1;H;20020821;20021129;542198;R;3;FARM;;RF;RM;0;9275714;
C;061;533029;3;20030619 08:58;;
D;061;533029;3;20030619 08:58;P;;;;;;
D;061;533029;3;20030619 08:58;V;;;;;;
B;061;533480;4;20030619 08:58;;;;PH WANTIOOL;JUNEE;2663;191.1;H;20021028;20030203;353971;R;3;FARM;;RF;RM;0;9434011;
C;061;533480;4;20030619 08:58;;
D;061;533480;4;20030619 08:58;P;;;;;;
D;061;533480;4;20030619 08:58;V;;;;;;
D;061;533480;4;20030619 08:58;V;;;;;;
B;061;533501;5;20030619 08:58;;;2651;JUNEE REEFS TR 57;JUNEE REEFS;2666;934.3;H;20021001;20021126;1528399;R;R;RESIDENCE;;RD;RM;0;9235322;
C;061;533501;5;20030619 08:58;1, 2, 3, 4, 5, 6, 7, 8//114426 PT 8, 9, PT 29, PT 30, 31, 32, 44, 45, ;
C;061;533501;5;20030619 08:58;46, PT 48, PT 49, PT 51, PT 69, 70, 71, 72, 73, 74, 75, 76, 140, PT 14;
C;061;533501;5;20030619 08:58;2, 147, PT 152, PT 157, PT 158, PT 180, PT 188//751432;
D;061;533501;5;20030619 08:58;P;;;;;;
D;061;533501;5;20030619 08:58;P;;;;;;
D;061;533501;5;20030619 08:58;V;;;;;;
B;061;533927;6;20030619 08:58;;;16;DALLEY ST;JUNEE;2663;1587;M;20021106;20021211;135000;Z;R;RESIDENCE;;ZB;AC;0;9260875;
C;061;533927;6;20030619 08:58;1//167671 11/7/758548;
D;061;533927;6;20030619 08:58;P;;;;;;
D;061;533927;6;20030619 08:58;P;;;;;;
D;061;533927;6;20030619 08:58;V;;;;;;
D;061;533927;6;20030619 08:58;V;;;;;;
B;061;533993;7;20030619 08:58;;;;DUCKER ST;JUNEE;2663;468.3;M;20020823;20020927;55000;Z;R;RESIDENCE;;ZF;AC;0;9359524;
C;061;533993;7;20030619 08:58;10//611092;
D;061;533993;7;20030619 08:58;P;;;;;;
D;061;533993;7;20030619 08:58;V;;;;;;
D;061;533993;7;20030619 08:58;V;;;;;;
B;061;534186;8;20030619 08:58;;;;GEORGE ST;JUNEE;2663;1024;M;20021210;20021218;310000;Z;3;CHILD CARE;;ZF;AC;0;9299893;
C;061;534186;8;20030619 08:58;8/2/587521;
D;061;534186;8;20030619 08:58;P;;;;;;
D;061;534186;8;20030619 08:58;P;;;;;;
D;061;534186;8;20030619 08:58;V;;;;;;
D;061;534186;8;20030619 08:58;V;;;;;;
B;061;534470;9;20030619 08:58;;;;KITCHENER ST;JUNEE;2663;770.7;M;20030120;20030218;74000;Z;R;RESIDENCE;;ZA;AC;0;9487238;
C;061;534470;9;20030619 08:58;2//595073;
D;061;534470;9;20030619 08:58;P;;;;;;
D;061;534470;9;20030619 08:58;V;;;;;;
