A;089;20011109 09:19;CDIXON;
B;089;803420;1;20011109 09:19;;;82;ADAM ST;GUILDFORD;2161;461.6;M;20010423;20010619;368000;A;R;RESIDENCE;;BC;;;7763232;
C;089;803420;1;20011109 09:19;10//517659;
D;089;803420;1;20011109 09:19;P;;;;;;
D;089;803420;1;20011109 09:19;P;;;;;;
D;089;803420;1;20011109 09:19;V;;;;;;
B;089;803471;2;20011109 09:19;;;28;ADDERTON RD;DUNDAS;2117;834.7;M;20010525;20010706;330000;A;R;RESIDENCE;;AK;;;7748980;
C;089;803471;2;20011109 09:19;3//20393;
D;089;803471;2;20011109 09:19;P;;;;;;
D;089;803471;2;20011109 09:19;P;;;;;;
D;089;803471;2;20011109 09:19;V;;;;;;
D;089;803471;2;20011109 09:19;V;;;;;;
B;089;803482;3;20011109 09:19;;3;50;ADDERTON RD;DUNDAS;2117;;;20010423;20010709;310000;;R;RESIDENCE;3;;;;7761160;
C;089;803482;3;20011109 09:19;3//SP 36330;
D;089;803482;3;20011109 09:19;P;;;;;;
D;089;803482;3;20011109 09:19;P;;;;;;
D;089;803482;3;20011109 09:19;V;;;;;;
D;089;803482;3;20011109 09:19;V;;;;;;
B;089;803572;4;20011109 09:19;;3;131;ADDERTON RD;CARLINGFORD;2118;;;20010516;20010627;313000;;R;RESIDENCE;3;;;;7755627;
C;089;803572;4;20011109 09:19;3//39029;
D;089;803572;4;20011109 09:19;P;;;;;;
D;089;803572;4;20011109 09:19;V;;;;;;
B;089;803572;5;20011109 09:19;;4;131;ADDERTON RD;CARLINGFORD;2118;;;20010525;20010716;295000;;R;RESIDENCE;4;;;;7788799;
C;089;803572;5;20011109 09:19;4//39029;
D;089;803572;5;20011109 09:19;P;;;;;;
D;089;803572;5;20011109 09:19;P;;;;;;
D;089;803572;5;20011109 09:19;V;;;;;;
B;089;803585;6;20011109 09:19;;;125;ADDERTON RD;CARLINGFORD;2118;885.2;M;20010504;20010615;375000;A;R;RESIDENCE;;AE;;;7765631;
C;089;803585;6;20011109 09:19;C//391757;
D;089;803585;6;20011109 09:19;P;;;;;;
D;089;803585;6;20011109 09:19;V;;;;;;
B;089;803706;7;20011109 09:19;;24;19;ADDERTON RD;TELOPEA;2117;;;20010507;20010621;227500;;R;RESIDENCE;24;;;;7744694;
C;089;803706;7;20011109 09:19;24//12625;
D;089;803706;7;20011109 09:19;P;;;;;;
D;089;803706;7;20011109 09:19;V;;;;;;
B;089;803776;8;20011109 09:19;;2;3;ADDERTON RD;DUNDAS;2117;;;20010519;20010702;278000;;R;RESIDENCE;2;;;;7797776;
C;089;803776;8;20011109 09:19;2//50859;
D;089;803776;8;20011109 09:19;P;;;;;;
D;089;803776;8;20011109 09:19;P;;;;;;
D;089;803776;8;20011109 09:19;V;;;;;;
D;089;803776;8;20011109 09:19;V;;;;;;
B;089;803776;9;20011109 09:19;;7;3;ADDERTON RD;DUNDAS;2117;;;20010602;20010718;301000;;R;RESIDENCE;7;;;;7798175;
C;089;803776;9;20011109 09:19;7//50859;
D;089;803776;9;20011109 09:19;P;;;;;;
D;089;803776;9;20011109 09:19;P;;;;;;
D;089;803776;9;20011109 09:19;P;;;;;;
D;089;803776;9;20011109 09:19;V;;;;;;
B;089;803938;10;20011109 09:19;;;1;ALBEMARLE ST;DUNDAS;2117;695.6;M;20010606;20010713;342500;A;R;RESIDENCE;;AE;;;7788094;
C;089;803938;10;20011109 09:19;31//29597;
D;089;803938;10;20011109 09:19;P;;;;;;
B;089;803954;11;20011109 09:19;;;16;ALBEMARLE ST;DUNDAS;2117;651.3;M;20010607;20010719;398000;A;R;RESIDENCE;;AE;;;7795962;
