A;171;20031002 11:12;PDANN;
B;171;1803484;1;20031002 11:12;'FAIRWAY VIEWS';27;4;ADVOCATE PL;BANORA POINT;2486;;;20030801;20030825;250000;;R;RESIDENCE;27;;;0;9962812;
C;171;1803484;1;20031002 11:12;27//SP 49377;
D;171;1803484;1;20031002 11:12;P;;;;;;
D;171;1803484;1;20031002 11:12;P;;;;;;
D;171;1803484;1;20031002 11:12;V;;;;;;
D;171;1803484;1;20031002 11:12;V;;;;;;
B;171;1803707;2;20031002 11:12;;4;15;ALEXANDER CT;TWEED HEADS SOUTH;2486;;;20030627;20030908;257000;;R;RESIDENCE;4;;;0;9987926;
C;171;1803707;2;20031002 11:12;4//SP 41317;
D;171;1803707;2;20031002 11:12;P;;;;;;
D;171;1803707;2;20031002 11:12;V;;;;;;
B;171;1804330;3;20031002 11:12;;;122;ASH DR;BANORA POINT;2486;872.5;M;20030725;20030821;351000;A;R;RESIDENCE;;HQ;;0;9985374;
C;171;1804330;3;20031002 11:12;67//819520;
D;171;1804330;3;20031002 11:12;P;;;;;;
D;171;1804330;3;20031002 11:12;P;;;;;;
D;171;1804330;3;20031002 11:12;V;;;;;;
D;171;1804330;3;20031002 11:12;V;;;;;;
B;171;1804490;4;20031002 11:12;;;36;AVONDALE DR;BANORA POINT;2486;600;M;20030820;20030911;346000;A;R;RESIDENCE;;HR;;0;9979802;
C;171;1804490;4;20031002 11:12;519//857005;
D;171;1804490;4;20031002 11:12;P;;;;;;
D;171;1804490;4;20031002 11:12;P;;;;;;
D;171;1804490;4;20031002 11:12;V;;;;;;
B;171;1804556;5;20031002 11:12;;;5;BAILEY ST;TWEED HEADS WEST;2485;591.8;M;20030813;20030912;355000;A;R;RESIDENCE;;NJ;;0;9992107;
C;171;1804556;5;20031002 11:12;22//1017105;
D;171;1804556;5;20031002 11:12;P;;;;;;
D;171;1804556;5;20031002 11:12;P;;;;;;
D;171;1804556;5;20031002 11:12;V;;;;;;
D;171;1804556;5;20031002 11:12;V;;;;;;
B;171;1804622;6;20031002 11:12;;;198;BAKERS RD;DUNBIBLE;2484;4000;M;20030630;20030730;479000;R;R;RESIDENCE;;RE;;0;9966092;
C;171;1804622;6;20031002 11:12;2//262412;
D;171;1804622;6;20031002 11:12;P;;;;;;
D;171;1804622;6;20031002 11:12;P;;;;;;
D;171;1804622;6;20031002 11:12;V;;;;;;
D;171;1804622;6;20031002 11:12;V;;;;;;
B;171;1804642;7;20031002 11:12;;;329;BAKERS RD;BYANGUM;2484;3.553;H;20030718;20030829;436000;R;R;RESIDENCE;;RE;;0;9965579;
C;171;1804642;7;20031002 11:12;2//746340;
D;171;1804642;7;20031002 11:12;P;;;;;;
D;171;1804642;7;20031002 11:12;P;;;;;;
D;171;1804642;7;20031002 11:12;V;;;;;;
D;171;1804642;7;20031002 11:12;V;;;;;;
B;171;1805235;8;20031002 11:12;;5;3;BARRETT ST;TWEED HEADS WEST;2485;;;20030613;20030914;160000;;R;RESIDENCE;5;;;0;9994616;
C;171;1805235;8;20031002 11:12;5//SP 51184;
D;171;1805235;8;20031002 11:12;P;;;;;;
D;171;1805235;8;20031002 11:12;V;;;;;;
B;171;1806028;9;20031002 11:12;;1;32;BIRKDALE CT;BANORA POINT;2486;;;20030815;20030917;279000;;R;RESIDENCE;1;;;0;AA5191;
C;171;1806028;9;20031002 11:12;1//SP 54746;
D;171;1806028;9;20031002 11:12;P;;;;;;
D;171;1806028;9;20031002 11:12;P;;;;;;
D;171;1806028;9;20031002 11:12;V;;;;;;
