A;199;20110801 02:23;VALNET;
B;199;3375645;1;20110801 02:23;;;4;EAST ST;URALLA;2358;1813;M;20110624;20110708;66000;A;3;FOUNDARY;;LD;;0;AG370810;
C;199;3375645;1;20110801 02:23;2/1114524;
D;199;3375645;1;20110801 02:23;P;;;;;;
D;199;3375645;1;20110801 02:23;V;;;;;;
D;199;3375645;1;20110801 02:23;V;;;;;;
B;199;3592051;2;20110801 02:23;;;427;CARLON MENZIES RD;SALISBURY PLAINS;2358;85.389;H;20110620;20110630;260000;;3;FARM;;;;0;AG349144;
C;199;3592051;2;20110801 02:23;195, 196/755835 1/1105811;
D;199;3592051;2;20110801 02:23;P;;;;;;
D;199;3592051;2;20110801 02:23;V;;;;;;
B;199;3584170;3;20110801 02:23;;;178;BRIDGE ST;URALLA;2358;1791;M;20110224;20110628;650000;I;3;COMMERCIAL LA;;LN;;0;AG373805;
C;199;3584170;3;20110801 02:23;1/1165357;
D;199;3584170;3;20110801 02:23;P;;;;;;
D;199;3584170;3;20110801 02:23;P;;;;;;
D;199;3584170;3;20110801 02:23;P;;;;;;
D;199;3584170;3;20110801 02:23;P;;;;;;
D;199;3584170;3;20110801 02:23;V;;;;;;
B;199;3584172;4;20110801 02:23;;;;BRIDGE ST;URALLA;2358;5274;M;20110224;20110628;650000;I;3;COMMERCIAL LA;;LN;;0;AG373805;
C;199;3584172;4;20110801 02:23;3/1165357;
D;199;3584172;4;20110801 02:23;P;;;;;;
D;199;3584172;4;20110801 02:23;P;;;;;;
D;199;3584172;4;20110801 02:23;P;;;;;;
D;199;3584172;4;20110801 02:23;P;;;;;;
D;199;3584172;4;20110801 02:23;V;;;;;;
B;199;1882009;5;20110801 02:23;;;12;EVERETT ST;URALLA;2358;1012;M;20110606;20110711;190000;A;R;RESIDENCE;;LD;;0;AG377001;
C;199;1882009;5;20110801 02:23;102/1012537;
D;199;1882009;5;20110801 02:23;P;;;;;;
D;199;1882009;5;20110801 02:23;P;;;;;;
D;199;1882009;5;20110801 02:23;V;;;;;;
Z;30;5;5;18;
