A;RTSALEDATA;199;20250224 01:07;VALNET;
B;199;3557198;1;20250224 01:07;;;18;WILKENS ST;URALLA;2358;1416.4;M;20250214;20250219;156000;R1;R;RESIDENCE;;ULB;;0;AU835761;
C;199;3557198;1;20250224 01:07;586, 621/755846;
D;199;3557198;1;20250224 01:07;P;;;;;;
D;199;3557198;1;20250224 01:07;V;;;;;;
D;199;3557198;1;20250224 01:07;V;;;;;;
B;199;1882151;2;20250224 01:07;;;2;HILL ST;URALLA;2358;619.7;M;20250129;20250214;440000;R1;R;RESIDENCE;;ULA;;0;AU826882;
C;199;1882151;2;20250224 01:07;5/230737;
D;199;1882151;2;20250224 01:07;P;;;;;;
D;199;1882151;2;20250224 01:07;V;;;;;;
D;199;1882151;2;20250224 01:07;V;;;;;;
B;199;1881321;3;20250224 01:07;;;1375;RETREAT RD;BALALA;2358;41;H;20240923;20250214;315000;RU2;R;RESIDENCE;;URG;;0;AU825581;
C;199;1881321;3;20250224 01:07;2/713607;
D;199;1881321;3;20250224 01:07;P;;;;;;
D;199;1881321;3;20250224 01:07;P;;;;;;
D;199;1881321;3;20250224 01:07;V;;;;;;
B;199;3347977;4;20250224 01:07;;;149;EASTERN AVE;KENTUCKY SOUTH;2354;2;H;20250115;20250214;620000;RU1;R;RESIDENCE;;URE;;0;AU826870;
C;199;3347977;4;20250224 01:07;24/1117040;
D;199;3347977;4;20250224 01:07;P;;;;;;
D;199;3347977;4;20250224 01:07;P;;;;;;
D;199;3347977;4;20250224 01:07;V;;;;;;
Z;22;4;4;12;
