A;205;20020603 10:28;MSMITH;
B;205;1912964;1;20020603 10:28;;;67;ALBION ST;ANNANDALE;2038;;;20020303;20020418;535000;A;R;RESIDENCE;;EA;;;8559518;
C;205;1912964;1;20020603 10:28;A//188440;
D;205;1912964;1;20020603 10:28;P;;;;;;
D;205;1912964;1;20020603 10:28;P;;;;;;
D;205;1912964;1;20020603 10:28;V;;;;;;
D;205;1912964;1;20020603 10:28;V;;;;;;
B;205;1913124;2;20020603 10:28;;;12;ALFRED ST;LILYFIELD;2040;291.8;M;20020323;20020508;479000;A;R;RESIDENCE;;EA;;;8584716;
C;205;1913124;2;20020603 10:28;1//798994;
D;205;1913124;2;20020603 10:28;P;;;;;;
D;205;1913124;2;20020603 10:28;V;;;;;;
D;205;1913124;2;20020603 10:28;V;;;;;;
B;205;1913155;3;20020603 10:28;;;9;ALFRED ST;ROZELLE;2039;;;20020227;20020415;570000;A;R;RESIDENCE;;EA;;;8573599;
C;205;1913155;3;20020603 10:28;30//977519;
D;205;1913155;3;20020603 10:28;P;;;;;;
D;205;1913155;3;20020603 10:28;P;;;;;;
D;205;1913155;3;20020603 10:28;V;;;;;;
B;205;1913243;4;20020603 10:28;;;26;ALFRED ST;ROZELLE;2039;;;20020308;20020418;631000;A;R;RESIDENCE;;EA;;;8552760;
C;205;1913243;4;20020603 10:28;17//977519;
D;205;1913243;4;20020603 10:28;P;;;;;;
D;205;1913243;4;20020603 10:28;P;;;;;;
D;205;1913243;4;20020603 10:28;V;;;;;;
B;205;1913351;5;20020603 10:28;;;38;ALLEN ST;LEICHHARDT;2040;;;20020222;20020419;640000;A;R;RESIDENCE;;EA;;;8578901;
C;205;1913351;5;20020603 10:28;1//915930;
D;205;1913351;5;20020603 10:28;P;;;;;;
D;205;1913351;5;20020603 10:28;P;;;;;;
D;205;1913351;5;20020603 10:28;V;;;;;;
D;205;1913351;5;20020603 10:28;V;;;;;;
B;205;1913431;6;20020603 10:28;BLOCK C;47;69;ALLEN ST;LEICHHARDT;2040;;;20020415;20020419;385000;;R;RESIDENCE;4;;;;8554976;
C;205;1913431;6;20020603 10:28;4//SP 58381;
D;205;1913431;6;20020603 10:28;P;;;;;;
D;205;1913431;6;20020603 10:28;V;;;;;;
B;205;1913702;7;20020603 10:28;;;177;ANNANDALE ST;ANNANDALE;2038;;;20020304;20020419;478000;A;R;RESIDENCE;;EA;;;8559170;
C;205;1913702;7;20020603 10:28;2//215267;
D;205;1913702;7;20020603 10:28;P;;;;;;
D;205;1913702;7;20020603 10:28;P;;;;;;
D;205;1913702;7;20020603 10:28;V;;;;;;
B;205;1913898;8;20020603 10:28;;;224;ANNANDALE ST;ANNANDALE;2038;227.6;M;20020216;20020405;681000;A;R;RESIDENCE;;EA;;;8546750;
C;205;1913898;8;20020603 10:28;B//440451;
D;205;1913898;8;20020603 10:28;P;;;;;;
D;205;1913898;8;20020603 10:28;P;;;;;;
D;205;1913898;8;20020603 10:28;V;;;;;;
D;205;1913898;8;20020603 10:28;V;;;;;;
B;205;1914008;9;20020603 10:28;;;16;ANNANDALE ST;ANNANDALE;2038;227.6;M;20020315;20020515;700000;A;R;RESIDENCE;;EA;;;8610622;
C;205;1914008;9;20020603 10:28;1//909362;
D;205;1914008;9;20020603 10:28;P;;;;;;
D;205;1914008;9;20020603 10:28;P;;;;;;
D;205;1914008;9;20020603 10:28;V;;;;;;
D;205;1914008;9;20020603 10:28;V;;;;;;
B;205;1914196;10;20020603 10:28;;;17;ARTHUR ST;LEICHHARDT;2040;227.6;M;20020405;20020515;635000;A;R;RESIDENCE;;EA;;;8596603;
C;205;1914196;10;20020603 10:28;3//510375;
D;205;1914196;10;20020603 10:28;P;;;;;;
D;205;1914196;10;20020603 10:28;V;;;;;;
B;205;1914595;11;20020603 10:28;;;55;BALLAST POINT RD;BIRCHGROVE;2041;411;M;20020125;20020503;1570000;A;R;RESIDENCE;;EF;;;8636228;
C;205;1914595;11;20020603 10:28;B, C//74813;
D;205;1914595;11;20020603 10:28;P;;;;;;
D;205;1914595;11;20020603 10:28;P;;;;;;
D;205;1914595;11;20020603 10:28;V;;;;;;
