A;238;20010822 12:16;CDIXON;
B;238;2632551;1;20010822 12:16;;;79;ABERFORD ST;COONAMBLE;2829;1739;M;20010215;20010323;300000;Z;3;MOTEL ;;BD;;;7569122;
C;238;2632551;1;20010822 12:16;3, 4/1/3264;
D;238;2632551;1;20010822 12:16;P;;;;;;
D;238;2632551;1;20010822 12:16;P;;;;;;
D;238;2632551;1;20010822 12:16;V;;;;;;
D;238;2632551;1;20010822 12:16;V;;;;;;
B;238;2632803;2;20010822 12:16;;;27;CHARLES ST;COONAMBLE;2829;1066;M;20010302;20010329;100000;Z;R;;;ZD;;;7612524;
C;238;2632803;2;20010822 12:16;82//630531 1//824107;
D;238;2632803;2;20010822 12:16;P;;;;;;
D;238;2632803;2;20010822 12:16;P;;;;;;
D;238;2632803;2;20010822 12:16;V;;;;;;
D;238;2632803;2;20010822 12:16;V;;;;;;
B;238;2633063;3;20010822 12:16;;;23;MCCULLOUGH ST;COONAMBLE;2829;1296;M;20010404;20010504;45000;Z;R;;;ZD;;;7608112;
C;238;2633063;3;20010822 12:16;3//35188;
D;238;2633063;3;20010822 12:16;P;;;;;;
D;238;2633063;3;20010822 12:16;P;;;;;;
D;238;2633063;3;20010822 12:16;V;;;;;;
B;238;2633311;4;20010822 12:16;;;23;PARK ST;COONAMBLE;2829;2816;M;20010302;20010329;30000;Z;R;;;ZD;;;7612525;
C;238;2633311;4;20010822 12:16;81//632719;
D;238;2633311;4;20010822 12:16;P;;;;;;
D;238;2633311;4;20010822 12:16;P;;;;;;
D;238;2633311;4;20010822 12:16;V;;;;;;
B;238;2633318;5;20010822 12:16;;;12;PARK ST;COONAMBLE;2829;1948;M;20010404;20010430;90000;Z;R;;;ZD;;;7614065;
C;238;2633318;5;20010822 12:16;12/24/758282;
D;238;2633318;5;20010822 12:16;P;;;;;;
D;238;2633318;5;20010822 12:16;P;;;;;;
D;238;2633318;5;20010822 12:16;V;;;;;;
D;238;2633318;5;20010822 12:16;V;;;;;;
B;238;2633599;6;20010822 12:16;;;84;WILGA ST;COONAMBLE;2829;4856;M;20010302;20010412;133000;Z;R;;;ZG;;;7605000;
C;238;2633599;6;20010822 12:16;108//3693;
D;238;2633599;6;20010822 12:16;P;;;;;;
D;238;2633599;6;20010822 12:16;P;;;;;;
D;238;2633599;6;20010822 12:16;V;;;;;;
D;238;2633599;6;20010822 12:16;V;;;;;;
B;238;2633694;7;20010822 12:16;;;38;YARRAN ST;COONAMBLE;2829;1049;M;20010326;20010326;0;Z;R;;;ZB;;;7579507;
C;238;2633694;7;20010822 12:16;C//392341;
D;238;2633694;7;20010822 12:16;P;;;;;;
D;238;2633694;7;20010822 12:16;V;;;;;;
Z;40;7;7;24;
