iter	Passed	Remaining
0	167	167331
1	174	87063
2	181	60307
3	188	46976
4	194	38631
5	199	33067
6	204	28963
7	209	25957
8	212	23446
9	216	21397
10	219	19719
11	223	18393
12	226	17204
13	229	16198
14	232	15260
15	235	14507
16	238	13796
17	241	13200
18	245	12657
19	247	12141
20	251	11714
21	254	11329
22	258	10967
23	260	10602
24	263	10267
25	266	10002
26	271	9778
27	274	9515
28	276	9274
29	280	9072
30	284	8883
31	287	8701
32	290	8517
33	293	8342
34	296	8171
35	298	7991
36	301	7846
37	304	7702
38	307	7573
39	310	7446
40	316	7409
41	321	7327
42	327	7285
43	330	7179
44	336	7139
45	339	7040
46	342	6953
47	346	6868
48	349	6782
49	353	6708
50	356	6628
51	358	6544
52	362	6474
53	364	6392
54	368	6331
55	372	6278
56	374	6200
57	377	6129
58	380	6062
59	382	5990
60	385	5939
61	388	5870
62	390	5805
63	392	5741
64	396	5698
65	398	5642
66	401	5592
67	404	5538
68	406	5484
69	408	5427
70	410	5372
71	413	5331
72	415	5280
73	418	5237
74	420	5187
75	423	5143
76	425	5104
77	428	5068
78	431	5030
79	434	5002
80	437	4965
81	440	4928
82	442	4892
83	444	4851
84	447	4816
85	449	4781
86	451	4741
87	454	4709
88	457	4681
89	460	4651
90	462	4618
91	464	4587
92	466	4553
93	469	4523
94	471	4491
95	473	4460
96	476	4433
97	478	4402
98	480	4373
99	483	4347
100	486	4326
101	488	4296
102	490	4270
103	492	4245
104	494	4217
105	497	4192
106	499	4167
107	501	4141
108	503	4118
109	506	4096
110	508	4070
111	510	4048
112	512	4026
113	514	4001
114	517	3982
115	519	3962
116	522	3940
117	524	3918
118	527	3904
119	529	3884
120	531	3864
121	534	3847
122	537	3829
123	539	3810
124	541	3790
125	543	3771
126	546	3757
127	548	3739
128	551	3720
129	553	3705
130	555	3688
131	558	3669
132	560	3654
133	562	3637
134	565	3623
135	567	3604
136	570	3591
137	573	3582
138	576	3573
139	579	3559
140	581	3541
141	583	3525
142	585	3510
143	587	3494
144	590	3480
145	594	3474
146	597	3464
147	599	3453
148	602	3439
149	604	3425
150	606	3412
151	609	3400
152	611	3386
153	614	3373
154	616	3359
155	618	3347
156	621	3334
157	623	3321
158	626	3311
159	628	3301
160	631	3288
161	633	3278
162	636	3267
163	638	3257
164	640	3242
165	643	3231
166	645	3220
167	648	3210
168	650	3197
169	652	3185
170	654	3173
171	656	3161
172	659	3150
173	661	3138
174	663	3130
175	666	3119
176	668	3108
177	672	3105
178	674	3094
179	678	3090
180	681	3082
181	684	3076
182	686	3066
183	690	3060
184	693	3055
185	697	3053
186	700	3046
187	704	3041
188	708	3041
189	713	3041
190	717	3037
191	721	3036
192	725	3034
193	729	3029
194	733	3027
195	738	3027
196	741	3024
197	745	3020
198	749	3018
199	753	3015
200	757	3013
201	761	3009
202	765	3006
203	769	3004
204	773	3000
205	778	3000
206	783	3001
207	787	2997
208	791	2993
209	795	2991
210	800	2994
211	805	2994
212	809	2990
213	815	2993
214	819	2993
215	824	2993
216	827	2986
217	832	2986
218	835	2977
219	838	2974
220	845	2979
221	847	2971
222	853	2973
223	856	2967
224	860	2964
225	864	2959
226	866	2951
227	870	2946
228	872	2938
229	876	2932
230	879	2927
231	881	2918
232	884	2911
233	886	2903
234	889	2896
235	891	2886
236	893	2877
237	896	2870
238	898	2860
239	900	2851
240	903	2845
241	905	2836
242	907	2826
243	910	2819
244	912	2810
245	913	2801
246	916	2794
247	919	2787
248	921	2779
249	924	2772
250	926	2763
251	927	2754
252	931	2748
253	932	2739
254	934	2731
255	937	2723
256	939	2715
257	940	2706
258	943	2699
259	945	2691
260	947	2682
261	950	2676
262	951	2667
263	953	2658
264	956	2652
265	958	2645
266	961	2638
267	964	2634
268	966	2627
269	969	2621
270	971	2614
271	974	2607
272	977	2602
273	979	2595
274	982	2589
275	984	2583
276	986	2575
277	991	2574
278	993	2568
279	996	2562
280	998	2556
281	1001	2548
282	1005	2546
283	1019	2570
284	1025	2572
285	1027	2565
286	1030	2559
287	1032	2552
288	1034	2545
289	1037	2538
290	1039	2532
291	1041	2524
292	1043	2518
293	1045	2511
294	1047	2503
295	1050	2498
296	1052	2491
297	1055	2485
