iter	MultiClass
0	1.944182715
1	1.943108963
2	1.942247516
3	1.941776914
4	1.941316065
5	1.940893669
6	1.940612167
7	1.940221721
8	1.939912099
9	1.939679638
10	1.939491167
11	1.939295199
12	1.939030905
13	1.938811118
14	1.938634085
15	1.938389295
16	1.938162164
17	1.937948234
18	1.937785046
19	1.937601701
20	1.937392903
21	1.937236103
22	1.937091848
23	1.936897031
24	1.936751945
25	1.936596777
26	1.936483882
27	1.936291584
28	1.936131492
29	1.93600969
30	1.935860359
31	1.935712259
32	1.935568748
33	1.935363384
34	1.935260559
35	1.93511944
36	1.935001259
37	1.934857005
38	1.934724893
39	1.934581026
40	1.93443409
41	1.934295944
42	1.934152371
43	1.934010908
44	1.933798115
45	1.933652518
46	1.933526286
47	1.933439735
48	1.933247842
49	1.933076157
50	1.932927528
51	1.932793049
52	1.932635623
53	1.932461423
54	1.932321735
55	1.932182087
56	1.932025797
57	1.93187952
58	1.931713037
59	1.931558895
60	1.931368395
61	1.93121835
62	1.931078737
63	1.930946179
64	1.930778287
65	1.930658132
66	1.930528912
67	1.930412837
68	1.930299393
69	1.930194326
70	1.93005195
71	1.929916914
72	1.929792681
73	1.929642932
74	1.929521195
75	1.929397833
76	1.929253188
77	1.929126048
78	1.928993159
79	1.928873179
80	1.928740256
81	1.928651444
82	1.92856642
83	1.928447783
84	1.928348675
85	1.928235602
86	1.928091813
87	1.927936959
88	1.927821047
89	1.927703742
90	1.92759708
91	1.927466118
92	1.927319343
93	1.927183054
94	1.92705755
95	1.9269354
96	1.926813823
97	1.926700866
98	1.92663524
99	1.926530557
100	1.926415273
101	1.926288237
102	1.926183303
103	1.926113674
104	1.925999039
105	1.925865208
106	1.925772059
107	1.925685287
108	1.925554087
109	1.925455506
110	1.925371408
111	1.92527736
112	1.925174543
113	1.925061689
114	1.924971751
115	1.924856746
116	1.924727786
117	1.924640525
118	1.924541145
119	1.924421776
120	1.924345754
121	1.924268797
122	1.924147265
123	1.924059582
124	1.923941245
125	1.923865402
126	1.923757858
127	1.923674058
128	1.923558596
129	1.923481258
130	1.923397782
131	1.923287283
132	1.923203524
133	1.923130682
134	1.923002455
135	1.922926862
136	1.92283649
137	1.922734826
138	1.922632012
139	1.922552912
140	1.922468555
141	1.922358241
142	1.922295403
143	1.922206059
144	1.922131326
145	1.922040603
146	1.92193762
147	1.921838903
148	1.921758985
149	1.921680175
150	1.92160892
151	1.921502812
152	1.921422042
153	1.92136748
154	1.921297625
155	1.921217609
156	1.921135596
157	1.921070916
158	1.920994629
159	1.920932828
160	1.920852362
161	1.920729996
162	1.920655027
163	1.92051204
164	1.920427324
165	1.920352598
166	1.920266304
167	1.92018971
168	1.920096291
169	1.920033487
170	1.919944747
171	1.919833833
172	1.919763646
173	1.919677812
174	1.91958401
175	1.919524674
176	1.919450266
177	1.919368214
178	1.919270899
179	1.919171864
180	1.91907093
181	1.919003913
182	1.918938769
183	1.918854678
184	1.918758535
185	1.918678353
186	1.918601876
187	1.91849497
188	1.918391572
189	1.918307108
190	1.918245327
191	1.918193272
192	1.918142168
193	1.918051701
194	1.917973043
195	1.917889369
196	1.917798106
197	1.91772326
198	1.917625078
199	1.917573528
200	1.91748371
201	1.917437948
202	1.917364359
203	1.917295221
204	1.91721962
205	1.917122636
206	1.91704102
207	1.916956743
208	1.916896904
209	1.91681868
210	1.916734102
211	1.916682322
212	1.916607787
213	1.916524855
214	1.916443248
215	1.916378081
216	1.916303293
217	1.916238257
218	1.916179862
219	1.916105378
220	1.916012692
221	1.915929624
222	1.915859053
223	1.915779881
224	1.915715851
225	1.915658225
226	1.915586668
227	1.915503194
228	1.915438667
229	1.915331663
230	1.915261007
231	1.915202224
232	1.91514517
233	1.915091559
234	1.915024655
235	1.914976914
236	1.914899393
237	1.914812536
238	1.914748781
239	1.914677749
240	1.914637373
241	1.914570152
242	1.914494901
243	1.914439427
244	1.914364789
245	1.914305894
246	1.914262586
247	1.914176088
248	1.914119734
249	1.914054271
250	1.913986645
251	1.913909432
252	1.913863572
253	1.913796138
254	1.913726955
255	1.913627662
256	1.913569004
257	1.913523024
258	1.913433825
259	1.913353834
260	1.9132682
261	1.913220507
262	1.913161184
263	1.91309292
264	1.913029904
265	1.912947137
266	1.912901718
267	1.912870195
268	1.912787918
269	1.912706178
270	1.912636113
271	1.912569757
272	1.912512864
273	1.912429562
274	1.912379793
275	1.912314656
276	1.912252274
277	1.912179086
278	1.912108926
279	1.912029025
280	1.911931233
281	1.911867323
282	1.911797902
283	1.911758619
284	1.911692452
285	1.911626626
286	1.911581949
287	1.911499163
288	1.911469509
289	1.911389318
290	1.911335713
291	1.911268297
292	1.911194902
293	1.911138369
294	1.911076061
295	1.910997856
296	1.910934741
297	1.910883417
298	1.910834859
299	1.910771084
300	1.910711424
301	1.91064977
302	1.910603568
303	1.91053852
