iter	Passed	Remaining
0	380	212929
1	557	155720
2	752	140011
3	900	125419
4	1083	120459
5	1243	114986
6	1412	111804
7	1601	110672
8	1791	109875
9	1961	108087
10	2134	106714
11	2328	106538
12	2498	105335
13	2659	103909
14	2829	102979
15	3003	102320
16	3198	102344
17	3391	102303
18	3561	101592
19	3719	100623
20	3915	100676
21	4081	99988
22	4249	99391
23	4415	98786
24	4607	98779
25	4808	98942
26	5003	98951
27	5185	98713
28	5412	99285
29	5612	99341
30	5783	98878
31	5966	98634
32	6132	98127
33	6296	97597
34	6481	97405
35	6648	96960
36	6814	96509
37	6994	96265
38	7172	96004
39	7336	95562
40	7498	95103
41	7666	94731
42	7843	94487
43	8027	94318
44	8214	94195
45	8398	94028
46	8567	93697
47	8737	93379
48	8921	93220
49	9115	93157
50	9292	92927
51	9475	92749
52	9681	92796
53	9848	92469
54	10007	92070
55	10166	91681
56	10352	91541
57	10510	91148
58	10691	90967
59	10862	90701
60	11041	90508
61	11229	90379
62	11428	90341
63	11589	90000
64	11767	89796
65	11965	89744
66	12163	89681
67	12352	89552
68	12546	89465
69	12732	89308
70	12913	89118
71	13097	88951
72	13291	88854
73	13471	88655
74	13643	88410
75	13800	88067
76	13973	87833
77	14133	87521
78	14296	87224
79	14513	87259
80	14712	87186
81	14863	86824
82	15006	86423
83	15167	86131
84	15311	85745
85	15473	85466
86	15657	85304
87	15851	85200
88	16045	85092
89	16212	84843
90	16374	84572
91	16550	84370
92	16745	84267
93	16916	84041
94	17070	83735
95	17263	83619
96	17437	83413
97	17637	83327
98	17798	83058
99	17975	82867
100	18155	82689
101	18345	82553
102	18544	82458
103	18709	82215
104	18899	82079
105	19075	81882
106	19270	81762
107	19453	81595
108	19623	81373
109	19789	81137
110	19964	80938
111	20137	80731
112	20306	80509
113	20498	80376
114	20667	80154
115	20866	80048
116	21037	79834
117	21227	79693
118	21390	79450
119	21548	79190
120	21711	78949
121	21865	78679
122	22049	78517
123	22212	78280
124	22375	78044
125	22544	77831
126	22703	77585
127	22864	77347
128	23072	77265
129	23250	77083
130	23404	76825
131	23587	76659
132	23757	76453
133	23908	76184
134	24091	76023
135	24234	75734
136	24415	75562
137	24614	75447
138	24787	75252
139	24967	75080
140	25145	74901
141	25328	74736
142	25481	74484
143	25656	74295
144	25810	74048
145	25989	73873
146	26160	73677
147	26328	73470
148	26507	73296
149	26675	73092
150	26854	72915
151	27017	72699
152	27170	72453
153	27333	72237
154	27490	72006
155	27647	71776
156	27828	71609
157	27973	71349
158	28139	71144
159	28297	70921
160	28458	70704
161	28643	70547
162	28828	70390
163	29019	70247
164	29189	70055
165	29349	69838
166	29524	69655
167	29729	69544
168	29914	69386
169	30084	69194
170	30258	69010
171	30451	68869
172	30630	68696
173	30794	68491
174	30990	68357
175	31156	68155
176	31320	67950
177	31477	67730
178	31669	67585
179	31853	67424
180	32029	67244
181	32215	67087
182	32385	66894
183	32546	66684
184	32739	66541
185	32933	66398
186	33090	66181
187	33302	66072
188	33486	65909
189	33657	65720
190	33812	65499
191	33982	65310
192	34150	65115
193	34336	64955
194	34504	64762
195	34679	64581
196	34845	64384
197	35032	64227
198	35215	64061
199	35380	63862
200	35565	63698
201	35734	63507
202	35876	63269
203	36031	63055
204	36224	62907
205	36380	62694
206	36555	62514
207	36714	62308
208	36867	62092
209	37028	61890
210	37191	61692
211	37340	61471
212	37517	61296
213	37709	61145
214	37902	60996
215	38083	60828
216	38245	60628
217	38403	60423
218	38579	60247
219	38751	60065
220	38953	59929
221	39136	59761
222	39329	59611
223	39528	59469
224	39698	59282
225	39876	59108
226	40041	58915
227	40221	58744
228	40373	58532
229	40567	58382
230	40747	58210
231	40910	58015
232	41071	57817
233	41223	57606
234	41372	57393
235	41556	57228
236	41708	57019
237	41880	56837
238	42037	56636
239	42228	56480
240	42388	56283
241	42538	56073
242	42707	55889
243	42862	55686
244	43050	55526
245	43204	55323
246	43353	55112
247	43510	54914
248	43660	54707
249	43816	54508
250	43990	54331
251	44178	54170
252	44330	53967
253	44514	53803
254	44698	53638
255	44897	53491
256	45049	53288
257	45212	53098
258	45408	52947
259	45592	52781
260	45783	52625
261	45938	52425
262	46106	52242
263	46265	52049
264	46468	51904
265	46644	51729
266	46796	51529
267	46950	51330
268	47142	51173
269	47298	50977
270	47456	50783
271	47614	50590
272	47771	50396
273	47927	50201
274	48091	50015
275	48247	49821
276	48405	49629
277	48598	49472
278	48761	49285
279	48953	49128
280	49130	48955
281	49304	48780
282	49456	48582
283	49657	48433
284	49871	48296
285	50058	48133
286	50215	47940
287	50377	47753
288	50514	47543
289	50705	47383
290	50875	47204
291	51049	47028
292	51202	46833
293	51383	46664
294	51566	46497
295	51738	46319
296	51905	46138
297	52055	45941
298	52207	45746
299	52378	45568
300	52536	45380
301	52692	45189
302	52864	45013
303	53034	44835
304	53222	44671
305	53393	44494
306	53575	44326
307	53727	44133
308	53919	43972
309	54091	43796
310	54265	43621
311	54437	43444
312	54617	43274
313	54815	43119
314	54967	42927
315	55129	42742
316	55309	42572
317	55474	42391
318	55628	42200
319	55813	42034
320	56006	41874
321	56173	41694
322	56352	41522
323	56552	41367
324	56732	41196
325	56918	41030
326	57110	40868
327	57277	40687
328	57448	40510
329	57626	40338
330	57806	40167
331	57983	39994
332	58161	39822
333	58322	39638
334	58517	39477
335	58699	39307
336	58875	39133
337	59039	38951
338	59187	38759
339	59353	38579
340	59498	38386
341	59650	38196
342	59824	38022
343	59994	37845
344	60178	37676
345	60365	37510
346	60538	37334
347	60696	37150
348	60857	36967
349	61039	36798
350	61208	36620
351	61394	36452
352	61576	36282
353	61759	36113
354	61933	35938
355	62107	35764
356	62266	35580
357	62418	35393
358	62599	35223
359	62782	35053
360	62940	34870
361	63103	34689
362	63298	34526
363	63456	34343
364	63621	34164
365	63801	33992
366	63975	33817
367	64130	33633
368	64316	33465
369	64476	33283
370	64624	33096
371	64785	32915
372	64971	32747
373	65140	32570
374	65293	32385
375	65466	32210
376	65631	32032
377	65796	31853
378	65981	31685
379	66145	31506
380	66321	31332
381	66506	31164
382	66705	31001
383	66915	30843
384	67120	30683
385	67267	30497
386	67468	30334
387	67652	30164
388	67864	30006
389	68146	29879
390	68396	29737
391	68564	29559
392	68728	29380
393	68908	29207
394	69075	29029
395	69260	28858
396	69448	28688
397	69636	28519
398	69801	28340
399	69951	28155
400	70122	27978
401	70289	27800
402	70477	27631
403	70668	27462
404	70811	27275
405	70994	27103
406	71148	26921
407	71327	26747
408	71491	26568
409	71681	26399
410	71860	26226
411	72025	26048
412	72217	25879
413	72392	25704
414	72573	25531
415	72743	25355
416	72932	25185
417	73075	24999
418	73304	24843
419	73496	24673
420	73682	24502
421	73854	24326
422	74017	24147
423	74190	23971
424	74377	23800
425	74535	23620
426	74688	23438
427	74861	23262
428	75024	23084
429	75210	22912
430	75368	22732
431	75562	22563
432	75731	22387
433	75907	22212
434	76079	22036
435	76243	21858
436	76418	21684
437	76582	21505
438	76755	21330
439	76929	21155
440	77093	20977
441	77273	20804
442	77462	20633
443	77645	20460
444	77815	20284
445	77972	20105
446	78138	19927
447	78316	19754
448	78477	19575
449	78656	19401
450	78831	19227
451	79002	19051
452	79157	18872
453	79331	18696
454	79502	18521
455	79663	18343
456	79810	18162
457	79966	17983
458	80150	17811
459	80330	17637
460	80518	17466
461	80674	17287
462	80858	17114
463	81071	16948
464	81242	16772
465	81402	16594
466	81593	16423
467	81758	16246
468	81980	16081
469	82138	15903
470	82292	15724
471	82457	15548
472	82637	15374
473	82802	15197
474	82985	15024
475	83137	14845
476	83321	14672
477	83486	14496
478	83666	14322
479	83867	14152
480	84014	13973
481	84175	13796
482	84350	13621
483	84522	13446
484	84681	13269
485	84844	13093
486	85035	12921
487	85194	12744
488	85368	12569
489	85538	12394
490	85698	12217
491	85857	12041
492	86042	11867
493	86225	11694
494	86385	11518
495	86543	11341
496	86693	11163
497	86875	10990
498	87059	10817
499	87215	10640
500	87366	10463
501	87534	10287
502	87713	10114
503	87885	9939
504	88051	9764
505	88211	9588
506	88369	9412
507	88524	9235
508	88686	9060
509	88847	8884
510	89020	8710
511	89188	8535
512	89349	8360
513	89529	8186
514	89683	8010
515	89868	7837
516	90074	7665
517	90257	7492
518	90442	7319
519	90633	7146
520	90800	6971
521	90954	6795
522	91123	6620
523	91276	6445
524	91444	6270
525	91640	6097
526	91826	5924
527	91980	5748
528	92159	5574
529	92329	5400
530	92489	5225
531	92640	5049
532	92801	4875
533	92960	4700
534	93103	4524
535	93239	4348
536	93436	4175
537	93592	4001
538	93753	3826
539	93914	3652
540	94075	3477
541	94249	3303
542	94413	3129
543	94587	2955
544	94748	2781
545	94914	2607
546	95070	2433
547	95226	2259
548	95404	2085
549	95571	1911
550	95733	1737
551	95898	1563
552	96058	1389
553	96209	1215
554	96376	1041
555	96548	868
556	96723	694
557	96896	520
558	97069	347
559	97276	173
560	97446	0
